Object ID,Código SIG,ID Tipo,Morada,Designação,Tipologia,MOBILIDADE_REDUZIDA,GlobalID,x,y
379,913,4,Campo Grande,Fontanário no Campo Grande,Fontanário,,aca72547-8b6c-4515-bae4-c2e7696a7d87,-1018736.47073793,4686736.97137468
380,912,4,Campo Grande,Tanque no Museu da Cidade,Tanque,,55980dc1-504a-452c-861d-bb2cbf8315b0,-1019326.97623658,4687163.65206595
381,909,4,Campo Grande,Lago 4 no Museu da Cidade,Lago,,2036233e-2f28-4f14-801e-a09c96bd28b9,-1019302.22181609,4687175.19755091
382,803,4,"Travessa de Francisco Rezende, Quinta da Fonte",Tanque da Quinta da Fonte,Tanque,,16d1a981-86fa-4d63-a35f-232c2e93c7f9,-1023588.51164428,4684852.36757507
383,404,4,Praça Andrade Caminha,Bebedouro no Parque Infantil da Praça Andrade Caminha,Bebedouro,NÃO,eed1fb81-69d6-4ed0-8825-8825b5557bea,-1017915.77822493,4685631.18286243
384,405,4,Rua Teixeira de Pascoais,Bebedouro no Parque Infantil da Rua Teixeira de Pascoais ,Bebedouro,NÃO,4df24a52-2bb3-45f4-9542-26f7aad01e38,-1017120.01634893,4685393.54240042
385,4308,4,Praça de Londres,Bebedouro junto do Parque Infantil da Praça de Londres,Bebedouro,NÃO,65b3a77b-1175-43c1-87f9-da938560199b,-1017298.66404254,4684664.01638562
386,4304,4,Autoparque Roma,Bebedouro no Jardim Fernando Pessa ,Bebedouro,NÃO,dad27c7e-b561-4adc-8416-717a7ee4fa49,-1017054.34954855,4684921.79951325
387,910,4,Campo Grande,Chafariz no Museu da Cidade,Chafariz,,3ae41abc-b0e5-4842-9603-18a21aed9af0,-1019308.16057933,4687022.51438539
388,706,4,Calçada da Picheleira,Fontanário 2 na Calçada da Picheleira,Fontanário,,7229eeea-47b3-45b4-806d-f46057cd62fb,-1015173.85278579,4684345.65393934
389,2409,4,Alameda de Santo António dos Capuchos,Bebedouro na Alameda de Santo António dos Capuchos,Bebedouro,NÃO,bd3ea8b1-68c8-4744-9b80-cb50b2b3954e,-1017701.31763314,4682097.02818749
390,304,4,Alameda Dom Afonso Henriques,Bebedouro junto ao Parque Infantil da Alameda Dom Afonso Henriques,Bebedouro,NÃO,e835e1ea-1612-45a9-b48e-051c6f0ec239,-1016638.00701023,4684130.12548077
391,504,4,Rua Engº Quartin Graça,Bebedouro no Parque Infantil da Rua Engº Quartin Graça,Bebedouro,NÃO,68604adc-262e-4279-9213-407cd6b1c6ad,-1019933.89710906,4690545.91564886
392,3706,4,"Travessa do Pé-de-Ferro, 20-22",Fontanário da Travessa Pé de Ferro,Fontanário,,c6639361-dfc6-4f13-89ea-b63aea474a84,-1019312.14791733,4680059.92610902
393,238,4,Estrada do Alvito,Bebedouro 6 no Parque do Alvito,Bebedouro,NÃO,ea3b6a6e-2f8f-4c73-831d-59c12b7600ec,-1022637.26793595,4681551.86842462
394,1307,4,Avenida Nuno Krus Abecassis(antiga Avenida 4 do Alto do Lumiar),Tanque 5 no Parque Oeste,Lago,,80de90a0-1e19-43cb-a3c3-835e16de53d0,-1019118.05592189,4690186.02685186
395,3391,4,Rua 8 do Cemitério dos Olivais,Bica 6 no Cemitério dos Olivais,Bica,,d6b8dcb6-6ea7-4fa5-a5dc-ce38a175e4e3,-1013892.57584759,4688041.31537904
396,3392,4,Rua 8 do Cemitério dos Olivais,Bica 7 no Cemitério dos Olivais,Bica,,b3c8041d-263e-4ae7-8f09-1eb1c8242eab,-1013887.11859513,4688038.96489335
